text,label
"Dil was a memorable movie that bring to the celluloid a great director like Indra Kumar. The movie followed with Beta, Ishq, Raja & Masti all of whom were superb.<br /><br />But then every successful director gives a few horrible movies alongwith some hits too. Pyare Mohan is one such movie.<br /><br />Though the comedies are told nicely but then they fail the viewer to laugh. Comparing with the kind of comedy movies being made today this is a dumb.<br /><br />If you really want to watch a movie and laugh, please don't watch this. Because the pathetic comedy will make you cry only.<br /><br />In short, the movie is worth a miss.",0
"What I liked best about this feature-length animated film from 1941 is the great feel it gives for the early 1940s. It's the songs, the clothing, automobiles, buildings lingo of the day, etc. You feel like you've stepped back into time.<br /><br />From reading some of the reviews here, I see this was a hard-luck film, being released a couple of days before the Pearl Harbor attack. Wow, no one would be interested in going to the movies for a feature-length cartoon during those eventful and shocking days, I'm sure. Too bad, because the folks missed some nice animation would have really impressed back then, almost 70 years ago. The colors are nice, drawings are good and story involving as we root for the bugs led by ""Hoppity"" and and his beautiful girl ""Honey"" to make it happily-ever-after and out of harm's way. It's also about all of them finding a grassy spot they can live and not worry about humans trampling them.<br /><br />There is a nasty villain, though - ""C. Bagley Beetle"" - and two of his henchmen. Those helpers (""Swat, The Fly"" and ""Smack, the Mosquito"") are comedians, complete with their Brooklyn-ese accents! The story is a familiar one where a nasty old man wants to marry the sweet young thing and uses unscrupulous means to force her hand. The good guy, meanwhile, has the decked stacked against him but in the very end, of course, prevails.<br /><br />My favorite part - this will sound worse than what it was - was when good-guy ""Hoppity"" got temporarily electrocuted and he danced in black-and-white. That was fantastic animation! <br /><br />You know, it's a good thing I didn't see this as a very little kid; I would have been afraid to play outside and squash all those nice bug-people! You never know what (or who) is in that grass beneath your feet!",1
"Doctor Who is amazing. It is everyones 'cup of tea'. It must be. The boys will like the monsters and the action and adventure and the girls will like the emotion and feelings that go around. <br /><br />Billie Piper was extraordinary as Rose Tyler. She was so emotional and made Rose so real.<br /><br />David Tennant is also so witty and funny and it is so enjoyable to watch.<br /><br />But now Billie has left and Rose is stuck on a parallel universe with her on-off boyfriend Mickey and her mother and father (he died when Rose was a baby but this Pete Tyler is from the Parallel universe). It will be very strange with Martha being the new companion, as I have only ever seen it with Rose (Apart from the Runaway Bride with Catherine Tate).<br /><br />Freema better be good!!!<br /><br />But nobody can beat Rose!!!",1
"Beethovan Lives Upstairs is a very bad movie. In my World History class, our teacher had us watch this movie and Amadeus to be able to compare the two composers or something. We watched Amadeus first and it was a very good movie, but when she had us watch this movie directly after that, I couldn't believe what I was seeing. The acting was horrific, the costumes were ugly (the little boy's was especially ugly and girlish), and the cinematography was z-grade. My Friend compared it to a home movie without the date display in the bottom right corner. I understand this was a T.V. movie from Canada and probably cost $10 to make, but please, they could have done better. I have seen a few good T.V. movies in my time, but this was not one of them. The biggest thing that I don't understand is why my World History class couldn't just watch Immortal Beloved or something. How is it possible to compare composers when given the movie Amadeus, for Mozart, and Beethovan Lives Upstairs, for Beethovan? It's not possible to do that when this is the choice of movie for Beethovan. I give Amadeus an A- (9 out of 10) if anyone cares to know, but Beethovan Lives Upstairs gets an F (1 out of 10).",0
"<br /><br />If you're at all interested in pirates, pirate movies, New Orleans/early 19th century American history, or Yul Brynner, see this film for yourself and make up your own mind about it. Don't be put off by various lacklustre reviews. My reaction to it was that it is entertaining, well acted (for the most part), has some very witty dialogue, and that it does an excellent job of portraying the charm, appeal and legendary fascination of the privateer Jean Lafitte. While not all the events in the film are historically accurate (can you show me any historical film that succeeds in this?), I feel the film is accurate in its treatment of the role Lafitte played in New Orleans' history, and the love-hate relationship between the ""respectable"" citizens of New Orleans and this outlaw who was one of the city's favorite sons. Don't worry about what the film doesn't do, but watch it for what it does do, i.e., for its study of one of New Orleans', and America's, most intriguing historical figures.",1
The Wind and the Lion is well written and superbly acted. It is a tale that exemplifies the American spirit and the American character. This movie is a story from the early 20th century that is strangely relevant to the political landscape of the world in the beginning of the 21st century. It is a true classic.,1
"Spanish horror icon Paul Naschy stars in this, one of his weakest werewolf films... but bear with me for a moment. Most people will be familiar with it under its most common television title, THE FURY OF THE WOLF MAN, and there have been many home video versions of it over the years. If you want to be serious about giving it a fair shot though, the most workable edition I've seen of it goes by the title THE WOLF MAN NEVER SLEEPS, and it's an unedited and complete European version which restores a couple of disturbing scenes and contains the original nude shots which are missing from FURY's print. It is also letterboxed.<br /><br />Naschy plays Waldemar Daninsky, returning home from a trip to Tibet only to find out that he's contracted a werewolf curse and that his wife has been having an affair. He takes care of her and her lover while in animal form, but then becomes a guinea pig for a sexy woman doctor and her female assistant. Apparently, the doc attempts to ""tame"" the werewolf, and there is a very strange sado-masochistic love scene between her and the hairy and fanged Daninsky who is under her trance, at least in the original version. Ultimately we get two werewolves for the price of one as Daninsky battles a she-wolf! <br /><br />The biggest problem with the movie is that the director (according to Naschy's claims) was often drunk, and the results are indeed rather incoherent. When watching THE WOLF MAN NEVER SLEEPS copy, it's not quite as difficult to make out what's going on, though the editing remains atrocious in spots. Worst of all is occasional non-matching footage of Naschy's ravenous werewolf swiped straight from another previous film (LA MARC DEL HOMBRE LOBO, aka ""FRANKENSTEIN'S BLOODY TERROR"") and mixed into this one without any sensible reason! The wolf's clothing changes from black shirt to white and back again, as does his demeanor; one moment the wolf is walking around lethargically in a hypnotic trance from FURY, next he is growling and running around savagely from BLOODY TERROR. Really bizarre.",0
"Compared to the competition, soul calibur 3 is a god amongst games- a true piece of art. However, compared to its 128 bit predecessors, the latest in namcos superior slash em up series is over ambitious- its attempts to improve on perfection isn't quite successful.<br /><br />There are new modes and game play tweaks that I commend for trying to elevate the series to new heights-but they just complicate things . Examples? Well, the character creation mode is a great idea in theory, but in actuality is full of restrictions and is no way as customisable as that found in the wwe games for example. The chronicles of the sword mode is fun and thought provoking for a little while but eventually drags on and feelslike a chore to earn money rather than a genuinely fun game. Also, the tale of souls mode which is basically the arcade mode with little bits of inconsequential story and shenmue style QTR bits thrown in really feels slow.<br /><br />"" OMG !!!YoU Don't kNoW WhAt yOuR SaYiNg"" is probably what the more overzealous of you are thinking , but don't get it twisted-I don't hate this game-this game is great! Its still got that classic game play (although some characters moves have been needlessly changed) , absolutely stunning graphics and that epic soundtrack that the games are known for. And also on the good side of things are the new characters ( particularly zasalamel ), who are all cool in their own way (except setsuka-yes i know I'm nitpicking).<br /><br />Its just that compared to soul calibur 1 and 2 it feels like its trying to be much more than it actually is. That doesn't mean that its not a classic , it just means that compared to its own high standards it falls a bit short despite having more characters moves stages and better graphics than ever.<br /><br />Still, soul calibur 3 wipes the floor with 95% of games out there though - and that counts for something! Oh and all those who mark this review as ""unhelpful"" clearly feel hurt that i insulted their darling setsuka. Well listen up fanboy/girl : SHE Ain't REAL ! And even if she was ,she wouldn't be caught dead with you.",1
"Let me begin by saying that I had been eagerly anticipating this film's release for awhile. After finally getting the chance to see it last night, I'm sorry to say that I was incredibly disappointed. It's hard to imagine a film that could make last fall's ""Exorcist: The Beginning"" look good, but ""Dominion"" does just that. No wait...it makes it look like a GREAT film. <br /><br />Perhaps I got myself too excited about this movie, and that contributed to the let down. After all, the idea that Warner Bros. was releasing two versions of what is essentially the same film within six months of each other was an exciting attraction. Plus, I'm a huge fan of Stellan Skarsgard, and in true fashion he gives a great performance, despite the often ridiculous content of the film. On the other hand, the supporting cast in this film is abysmal. Clara Bellar seems to be capable of only one expression - blank stare, and delivers all of her lines with the same monotonous tone, while Gabrielle Mann's Father Frances is just ridiculous. The effects in this film are laughable at best and the sheer cheesiness of it all is enough to rob the film of any chance of being taken seriously. This movie brought about more stifled giggling than anything else, and with the exception of one really chilling shot that lasted about three-seconds and made my friend cover her eyes and whimper, it neglected to offer anything in the scare department either. I could go into more detail and possibly give away some spoilers, but frankly I'm too exhausted from thinking about how bad this film was to write all the things I'd love to say.<br /><br />The saddest part about the whole thing is that the basic idea that both versions of the film tried to give...a story about a priest who has lost his faith and then regains it after coming to terms with his troubled past...had huge potential, especially with Skarsgard as leading man. Unfortunately for us, that potential was wasted. Go and see this film only if you're really curious about how it differs from the Harlin version, but don't expect to see a good film or you'll regret wasting your money and two hours of your life. Otherwise, be content with the version first released and move on.",0
"I first saw this movie at a Saturday matinee when I was very young. I thought it was cool and often thought about it. Well I finally resaw it on DVD. It was still very entertaining but in a different way. It has to rank as one of the goofiest, campiest, 1950's sci-fi movies. It seemed filled with stock military footage. The dialogue is stilted and effects are crude. There is one line of dialogue that had me in stitches. The line Jeff Morrow says while on the beach with the babe. Rent it if you need a movie to watch with a bunch of drunken friends. It is a classic.",0
"Chalk this one up in the win column, this was a superb movie. The acting performances were great and the script was equally great.<br /><br />Helen Hunt was magnificent as the Riverside police officer Gina Pulasky. Gina was a complex character. She was a rookie cop with the Riverside Police Dept. She ended up in an affair with a coworker that she knew had a wife and kids, all the while she took on the dangerous task of going undercover to catch a serial killer. <br /><br />Jeff Fahey (the Ray Liotta look alike) did a bang up job as the confused, often stammering, police officer that had an affair with Gina. He was stoic as an officer, but he was quite the opposite when it came to dealing with his feelings and his extra-marital affair.<br /><br />Steven Weber, most notably from the sitcom ""Wings"", did a nice job as the quiet, meek, underachieving sociopath. On the surface, he was an innocent loser, but beneath the surface lied a cold hearted killer. Weber really took on the persona of a childlike young adult with an insatiable thirst to kill young boys.<br /><br />The entire movie was spectacular. Each scene, each verbal exchange let us know more and more about the characters. The production team did a phenomenal job with condensing days, if not weeks worth of events into a 90 minute movie. This movie was a good example of doing a lot with little.",1
"Overrated and only for those people in their 20's whom wear particularly thick rose tinted glasses, who never actually saw it in the first place because they were to young. Awful animation, dialogue and a tired narrative. A real product of the 80's, the novel gimmick of a puzzle TOY (thats right, TOY not the absurd, pretentious and child alienating ""collectors action figurine""), sold on the back of a poor cartoon and other paraphernalia, only matters to those who bought the TOY when they were ""actual"" children in the period of '84' to '87'. It Has become cult because of those same adults are to immature to let go of their memories. Avoid.",0
"I fell in love with Emily Watson in Breaking the Waves, then grew even more fascinated by her range and adeptness in Hilary and Jackie. Now comes this stunning portrayal of a rich girl who spurns breeding and convention in favor of mothering the tortured soul of the child of a man clearly in need of mothering. Her eyes are the mirror to his soul --and what gentle and beautiful eyes they are.<br /><br />Those who take things literally will find Marleen Gorris' poetic and allegorical direction quite frustrating. Romantics who are willing to go with the amazing kinetic energy is this filmed allegorical poem will be well rewarded.",1
"I've gotta say, I usually like horror movies that i've never seen... however, this one was just to pathetic for my gory taste. I'm used to the gory, gut wrenching types... but this particular movie was lame. The acting was horrible (yet the corny (no pun intended) one-liners were cute). And the sequel to it, Scarecrow Slayer was even worse! Yes, probably, when it first came out, there was a huge rave about it and people liked it. But when movies like The Ring and The Exorcist of Emily Rose come out, movies like these make movies like Scarecrow seem childish. If you want a movie to just pass the time, pick this one! The special effects are cheesy as heck. But seeing that it was a low budget movie, I can kind of see where that would come in. This will kind of remind you of the movie ""Children Of The Corn."" Independent movies rock.... most of the time. So if you want to see a scarecrow killing people with corncobs, or in the sequel, 2 scarecrows going at it, then these movies would be for you.",0
"""The Second Coming Of Suzanne"" is yet another one of those surrealistic films that tries to come across as extremely sophisticated, yet all it does is put the viewer to sleep. Like other movies of this type, there is limited dialogue. Everyone is much more interested in the visual aesthetic of the shot. However, the cinematography stinks so there is nothing at all to keep your attention.<br /><br />The video box states that this film is ""one of the most exciting visual adventures ever seen on film."" Yeah...sure. It's right up there with watching such stimulating events as a bucket of ice melting or a turtle walking for a mile. 1/10",0
"I have done quite a few reviews on IMDb and this film is unique in that I never saw the entire movie. It was so terribly stupid and unfunny that I just couldn't sit through it--though I tried.<br /><br />The biggest problem with this and any Mel Brooks movie I call ""the Mel quotient"". In other words, the better his movie, the less of him you see in the film. Think about it--The Producers and Young Frankenstein were great films and he was barely in them at all. BUT, films like Life Stinks and Space Balls are chock full of Mel and are pretty dopey movies (yes, I DID NOT LIKE Space Balls--but this isn't the place to talk about that).<br /><br />Second, apart from cancer, rectal itch and mental retardation, I can't think of a less funny topic than homelessness. This is just a comedy breaker. Think about it, folks. The FUNNIEST(?) scene in the movie has Mel making whoopee with Leslie Ann Warren in a dumpster!! And this is funny in what way?",0
"Well........how and where do I start to describe this utter nonsense? Imagine the morals of a cheesy Hollywood Western, throw in a lavish helping of the most trite soap opera storyline, and try to dupe the kids into thinking its cool by dressing it up to be about something 'contemporary'. This film is all package and absolutely no substance.<br /><br />It starts with promise......young men dreaming of becoming rockstars and engaging in the kind of excessive hero-worship everyone can laugh at. After that, it all goes downhill.....quicker than a bobsleigh with no brakes. The scene involving the first gig with Steel Dragon is one of the most pathetic pieces of 'cine kitsch' I have seen in a long time. The singer appears on stage for his debut and falls down some stairs.....will he get up and sing???......or will he stay there on the floor and not sing......who cares by now?? It gets worse, but I don't want to bore myself by having to remember it in all its excruciating detail. If you watch it after this review, its your own fault!",0
"Ken Russell directed this weird ( Not very ) erotic thriller and if I hadn't known that I would have staked my life that the director was Brian DePalma . Absolutely everything about CRIMES OF PASSION screams DePalma , from the gaudy cinematography that is lit a little too brightly , to the domestic storyline that turns into a stalk and slash plot , to even the title this screams "" Depalma , DePalma , Depalma ""<br /><br />Unfortunately since Brian DePalma is increasingly seen as a poor mans Hitchcock over the years Russell should have tried emulating a style of his own . Sure an erotic thriller in the style of TOMMY or BILLION DOLLAR BRAIN would have been bizarre with a capital B but at least it would have been a unique cinematic experience . Stories about prostitutes living a dangerous double life and being stalked by a religious maniac were an all too common sight in the 1980s video market . Oh and Anthony Perkins plays the same role he played in almost every movie he made in the 1980s . Yawn <br /><br />The only thing of any real note to CRIMES OF PASSION is the controversy it caused . I guess the studio were the happiest people to hear this since no publicity is bad publicity , but as for the controversial sex scenes ... What controversial sex scenes ? There aren't any and the only controversy I can think of is of China Blue dominating an on duty policeman with a truncheon . Needless to say he didn't come quietly HA HA HA HA HA HA HA HA",0
"In today's world of advertising and teenage horror and sensationalism it is very rare that one gets to see a movie and no nothing about it. Movies like Psycho and Blair Witch, while being great in suspense (both with great build ups) are spoiled by the fact that we know all about the best scenes and at least the plot before we see them. With Mute Witness, a rare treat, I stumbled upon this film and watched it, scared witless, in the middle of the night. I was scared by the menacing Russian ambience, the 'snuff' theme and the claustrophobic plight of the mute and the fact that the (amusing, which always leads to likeable) characters could meet the end at any second. Since this is a low budget and rare film we watch it without any expectations. It also has Fay Ripley in a rare movie role, watch and prepare to be excited, scared and thrilled in totally unexpected ways.",1
"Basil Rathbone and Nigel Bruce return as Sherlock Holmes and Dr. Watson in this superior tale of Holmes battling the 3rd Reich and the mastermind genius of Professor Moriarty. The film opens up in Switzerland as Holmes is in disguise as an ""old bookseller."" He must bring Dr. Tobel and the Tobel Bomb Site to England before the Germans can kidnap Tobel. Holmes succeeds and the Germans recuit the evil Professor. Moriarty manages to outwit Scotland yard and LeStrad ""Dennis Hoey"" by kidnapping Tobel. The only clue left by Tobel is a list of ""dancing men."" Who will break the hidden code of dancing men, Holmes or Moriarty first? Can Holmes prevent the bomb site from falling into the German hands thereby saving England from the precision bombing techniques developed by Tobel's bomb site? Watch and enjoy.",1
"I saw this movie a long time ago... luckily it was for free. I have to be one of the maybe twenty people who saw this movie in the theater. I don't remember a whole bunch of it, but I do remember I was incredibly bored, the plot made no sense and when I came out of the theater the only thing I could say was at least now I know what the worst movie I ever saw was. I just was incredibly bothered by one thing: if they can make the temperature as they approach the sun low enough for humans to survive, why can't they turn it down to a comfortable temperature instead of being all hot and sweaty? How stupid do they think we are?",0
"I am not afraid of bad movies. I like bad movies. I enjoy mocking them in the company of my friends. We're all quite good at it, in fact. That being said, let me tell you how much I hated this movie.<br /><br />To begin with, it was incomprehensible. Rob Lowe attacks some people, they capture him but he escapes in this big ol' shoot out. There's this singer whom we think died, only she didn't, unless maybe there are several of them who all act and look the same. Cue Burt Reynolds to come in and question the singer. He looks like he's just wandered into this movie off of the Walker, Texas Ranger set and is darn confused. Then Rob Lowe dies, only he doesn't... And the worst thing is, there's not enough dialogue or action that doesn't involve killing people or attempting to to even make fun of this movie!! And don't even get me started on the random chihuahua. Then there was the fact that it was supposed to be about the old power structure in Eastern-Europe falling apart. We didn't know where we were, all the accents were apparently ""Eastern-European"" and what were Burt Reynolds and Rob Lowe doing there in the first place?<br /><br />I desperately wanted to tell the people at Blockbuster what I thought of this movie, and to get my money back, but since I'd gotten it as a special (only $.99) I decided against it. What I want to know, however, is HOW THE DIRECTOR GOT THE GREENLIGHT to make this darn movie, and what the 'stars' were thinking when they signed on???",0
